state,district,n_wells,mean_water_level_mbgl,min_mbgl,max_mbgl,gw_stress_score
West Bengal,DARJILING,19,3.21,1.28,6.68,0.107
West Bengal,EAST,20,11.11,1.13,19.32,0.370
West Bengal,HAORA,23,6.04,0.49,16.33,0.201
West Bengal,HUGLI,35,10.0,0.45,26.5,0.333
West Bengal,JALPAIGURI,34,3.42,1.15,16.14,0.114
West Bengal,KOCHBIHAR,23,2.56,0.99,6.46,0.085
West Bengal,MALDAH,32,4.93,0.9,11.05,0.164
West Bengal,MURSHIDABAD,53,11.69,0.58,30.49,0.390
West Bengal,NADIA,57,5.21,1.25,11.42,0.174
West Bengal,NORTH,62,5.07,0.63,13.26,0.169
West Bengal,PURULIYA,57,3.76,1.84,7.51,0.125
West Bengal,SOUTH,82,8.1,0.4,19.4,0.270
West Bengal,WEST,64,7.7,0.51,17.36,0.257
