rank,district,state,present_risk,future_risk_ssp585_2050,risk_escalation,capacity_gap,present_ac,priority_tier,present_dominant_hazard,people_at_risk_present,people_at_risk_2050,gap_explanation
326,Aravali,Gujarat,6.36,1.47,-4.89,0.29,0.802,moderate,flood,1067824,246808,Risk declining from 6.4 to 1.5 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
327,Sawai Madhopur,Rajasthan,4.24,1.42,-2.81,0.29,0.794,moderate,wet-bulb,736924,246800,Risk declining from 4.2 to 1.4 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
328,Gautam Buddha Nagar,Uttar Pradesh,4.86,1.67,-3.19,0.29,0.827,moderate,wet-bulb,2899322,996269,Risk declining from 4.9 to 1.7 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
329,Namsai,Arunachal Pradesh,6.36,1.25,-5.11,0.29,0.769,moderate,flood,90989,17883,Risk declining from 6.4 to 1.2 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
330,Kurnool,Andhra Pradesh,2.89,1.6,-1.29,0.28,0.827,moderate,wet-bulb,1940440,1074292,Risk declining from 2.9 to 1.6 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
331,Ghazipur,Uttar Pradesh,4.87,1.32,-3.55,0.28,0.785,moderate,wet-bulb,2856182,774160,Risk declining from 4.9 to 1.3 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
332,Basti,Uttar Pradesh,5.5,1.27,-4.23,0.28,0.783,moderate,flood,2473705,571201,Risk declining from 5.5 to 1.3 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
333,Kaimur (Bhabua),Bihar,4.53,1.17,-3.36,0.28,0.758,moderate,wet-bulb,1288864,332885,Risk declining from 4.5 to 1.2 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
334,Nagarkurnool,Telangana,2.9,1.76,-1.13,0.28,0.844,moderate,wet-bulb,435971,264589,Risk declining from 2.9 to 1.8 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
335,Anantapur,Andhra Pradesh,2.73,1.77,-0.96,0.28,0.843,moderate,wet-bulb,1642957,1065214,Risk declining from 2.7 to 1.8 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
336,Uttar Dinajpur,West Bengal,5.37,1.32,-4.04,0.28,0.787,moderate,flood,1744429,428798,Risk declining from 5.4 to 1.3 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
337,Aligarh,Uttar Pradesh,4.85,1.29,-3.55,0.28,0.785,moderate,wet-bulb,2657492,706838,Risk declining from 4.8 to 1.3 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
338,Bankura,West Bengal,4.54,1.19,-3.35,0.28,0.767,moderate,flood,2752984,721597,Risk declining from 4.5 to 1.2 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
339,Senapati,Manipur,3.49,1.15,-2.34,0.28,0.753,moderate,landslide,208084,68566,Risk declining from 3.5 to 1.1 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
340,Chirang,Assam,6.77,1.51,-5.26,0.28,0.816,moderate,flood,771192,172009,Risk declining from 6.8 to 1.5 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
341,Devbhumi Dwarka,Gujarat,4.28,1.65,-2.62,0.28,0.833,moderate,flood,390569,150570,Risk declining from 4.3 to 1.6 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
342,Chandauli,Uttar Pradesh,4.61,1.29,-3.31,0.28,0.782,moderate,wet-bulb,1239690,346898,Risk declining from 4.6 to 1.3 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
343,Medak,Telangana,3.81,1.99,-1.82,0.28,0.859,moderate,wet-bulb,493691,257860,Risk declining from 3.8 to 2.0 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
344,Gorakhpur,Uttar Pradesh,5.85,1.42,-4.43,0.28,0.802,moderate,flood,3717281,902314,Risk declining from 5.8 to 1.4 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
345,Charaideo,Assam,6.35,1.55,-4.8,0.28,0.822,moderate,flood,286322,69890,Risk declining from 6.3 to 1.6 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
346,Bargarh,Odisha,4.7,1.46,-3.24,0.27,0.812,moderate,flood,955015,296664,Risk declining from 4.7 to 1.5 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
347,Aurangabad,Maharashtra,4.1,1.59,-2.51,0.27,0.822,moderate,wet-bulb,4711375,1827094,Risk declining from 4.1 to 1.6 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
348,Balaghat,Madhya Pradesh,3.95,1.61,-2.34,0.27,0.829,moderate,wet-bulb,972004,396184,Risk declining from 4.0 to 1.6 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
349,Haveri,Karnataka,3.12,1.86,-1.26,0.27,0.853,moderate,wet-bulb,691088,411995,Risk declining from 3.1 to 1.9 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
350,Baloda Bazar,Chhattisgarh,4.55,1.51,-3.04,0.27,0.819,moderate,wet-bulb,722072,239633,Risk declining from 4.5 to 1.5 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
351,Kushinagar,Uttar Pradesh,6.91,1.31,-5.6,0.27,0.795,moderate,flood,3516805,666717,Risk declining from 6.9 to 1.3 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
352,Jalor,Rajasthan,4.84,1.58,-3.26,0.27,0.829,moderate,flood,1429058,466511,Risk declining from 4.8 to 1.6 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
353,Dibrugarh,Assam,6.7,1.68,-5.02,0.27,0.841,moderate,flood,1425053,357327,Risk declining from 6.7 to 1.7 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
354,Valsad,Gujarat,6.67,2.85,-3.82,0.27,0.904,moderate,flood,1713436,732128,Risk declining from 6.7 to 2.9 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
355,Jharsuguda,Odisha,4.25,1.54,-2.7,0.27,0.822,moderate,flood,413026,149661,Risk declining from 4.2 to 1.5 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
356,Bishnupur,Manipur,3.24,1.2,-2.04,0.27,0.776,moderate,flood,64738,23977,Risk declining from 3.2 to 1.2 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
357,Nalbari,Assam,6.8,1.65,-5.15,0.27,0.836,moderate,flood,471658,114446,Risk declining from 6.8 to 1.6 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
358,Mahabubnagar,Telangana,3.1,1.72,-1.38,0.26,0.849,moderate,wet-bulb,442926,245753,Risk declining from 3.1 to 1.7 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
359,Jodhpur,Rajasthan,4.31,1.44,-2.87,0.26,0.822,moderate,wet-bulb,2528042,844636,Risk declining from 4.3 to 1.4 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
360,Agra,Uttar Pradesh,4.75,1.26,-3.49,0.26,0.797,moderate,wet-bulb,3151286,835920,Risk declining from 4.8 to 1.3 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
361,Virudhunagar,Tamil Nadu,2.64,1.84,-0.8,0.26,0.86,moderate,wet-bulb,701260,488757,Risk declining from 2.6 to 1.8 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
362,Bikaner,Rajasthan,5.45,1.47,-3.98,0.26,0.82,moderate,drought,2231040,601767,Risk declining from 5.5 to 1.5 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
363,Raipur,Chhattisgarh,4.49,2.0,-2.49,0.26,0.87,moderate,wet-bulb,1812355,807285,Risk declining from 4.5 to 2.0 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
364,Mirzapur,Uttar Pradesh,4.72,1.31,-3.41,0.26,0.804,moderate,wet-bulb,2253910,625556,Risk declining from 4.7 to 1.3 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
365,Faizabad,Uttar Pradesh,4.79,1.23,-3.56,0.26,0.789,moderate,wet-bulb,1802805,462933,Risk declining from 4.8 to 1.2 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
366,Amreli,Gujarat,4.18,1.78,-2.4,0.26,0.852,moderate,flood,897153,382041,Risk declining from 4.2 to 1.8 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
367,Gondiya,Maharashtra,4.53,1.77,-2.76,0.26,0.853,moderate,wet-bulb,993053,388014,Risk declining from 4.5 to 1.8 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
368,North Tripura,Tripura,5.07,1.38,-3.69,0.26,0.808,moderate,flood,480121,130684,Risk declining from 5.1 to 1.4 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
369,Ajmer,Rajasthan,3.8,1.64,-2.16,0.26,0.841,moderate,wet-bulb,1523962,657710,Risk declining from 3.8 to 1.6 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
370,Sultanpur,Uttar Pradesh,4.83,1.23,-3.61,0.26,0.788,moderate,wet-bulb,1728826,440260,Risk declining from 4.8 to 1.2 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
371,Gir Somnath,Gujarat,6.76,1.66,-5.09,0.26,0.844,moderate,flood,953365,234110,Risk declining from 6.8 to 1.7 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
372,Auraiya,Uttar Pradesh,4.76,1.43,-3.33,0.26,0.821,moderate,wet-bulb,1009685,303330,Risk declining from 4.8 to 1.4 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
373,Wanaparthy,Telangana,3.04,1.68,-1.36,0.26,0.844,moderate,wet-bulb,199301,110140,Risk declining from 3.0 to 1.7 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
374,Rajsamand,Rajasthan,3.51,1.45,-2.05,0.26,0.819,moderate,wet-bulb,610647,252261,Risk declining from 3.5 to 1.4 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
375,Lawngtlai,Mizoram,3.39,1.35,-2.04,0.26,0.809,moderate,flood,41861,16670,Risk declining from 3.4 to 1.4 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
376,Jaunpur,Uttar Pradesh,4.84,1.25,-3.59,0.26,0.793,moderate,wet-bulb,2987381,771534,Risk declining from 4.8 to 1.2 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
377,Mahrajganj,Uttar Pradesh,6.95,1.28,-5.67,0.26,0.793,moderate,flood,3014850,555253,Risk declining from 7.0 to 1.3 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
378,Rajanna Sircilla,Telangana,3.73,1.91,-1.82,0.26,0.864,moderate,wet-bulb,307116,157263,Risk declining from 3.7 to 1.9 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
379,North West,NCT of Delhi,4.83,2.01,-2.82,0.26,0.872,moderate,wet-bulb,2476511,1030598,Risk declining from 4.8 to 2.0 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
380,South West,NCT of Delhi,4.83,1.95,-2.88,0.26,0.869,moderate,wet-bulb,1768164,713855,Risk declining from 4.8 to 1.9 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
381,Jaipur,Rajasthan,4.19,1.79,-2.4,0.25,0.859,moderate,wet-bulb,4672261,1996026,Risk declining from 4.2 to 1.8 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
382,Karur,Tamil Nadu,2.9,1.86,-1.04,0.25,0.866,moderate,wet-bulb,529402,339547,Risk declining from 2.9 to 1.9 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
383,Subarnapur,Odisha,4.95,1.39,-3.56,0.25,0.818,moderate,flood,540501,151777,Risk declining from 5.0 to 1.4 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
384,Latur,Maharashtra,3.63,1.84,-1.79,0.25,0.862,moderate,wet-bulb,1325798,672030,Risk declining from 3.6 to 1.8 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
385,Jalaun,Uttar Pradesh,4.61,1.35,-3.26,0.25,0.818,moderate,wet-bulb,1181927,346117,Risk declining from 4.6 to 1.4 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
386,Paschim Medinipur,West Bengal,4.97,1.19,-3.78,0.25,0.787,moderate,flood,4062209,972642,Risk declining from 5.0 to 1.2 by 2050 (SSP5-8.5). Capacity gap 0.2 — high incoming stress meets low coping.
387,Bhavnagar,Gujarat,5.12,1.63,-3.49,0.25,0.844,moderate,flood,1766733,562456,Risk declining from 5.1 to 1.6 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
388,Mahabubabad,Telangana,3.59,1.45,-2.14,0.25,0.83,moderate,wet-bulb,383738,154992,Risk declining from 3.6 to 1.4 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
389,Dindigul,Tamil Nadu,2.88,1.73,-1.15,0.25,0.856,moderate,wet-bulb,1003416,602746,Risk declining from 2.9 to 1.7 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
390,Dhemaji,Assam,6.61,1.44,-5.17,0.25,0.824,moderate,flood,653236,142309,Risk declining from 6.6 to 1.4 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
391,Jhansi,Uttar Pradesh,4.28,1.3,-2.98,0.25,0.81,moderate,wet-bulb,1427301,433526,Risk declining from 4.3 to 1.3 by 2050 (SSP5-8.5). Capacity gap 0.2 — high incoming stress meets low coping.
392,Navsari,Gujarat,5.68,2.44,-3.24,0.25,0.897,moderate,flood,1040323,446899,Risk declining from 5.7 to 2.4 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
393,Nayagarh,Odisha,4.51,1.31,-3.2,0.25,0.806,moderate,flood,719071,208865,Risk declining from 4.5 to 1.3 by 2050 (SSP5-8.5). Capacity gap 0.2 — high incoming stress meets low coping.
394,Purbi Singhbhum,Jharkhand,4.66,1.23,-3.42,0.25,0.793,moderate,wet-bulb,1265749,334093,Risk declining from 4.7 to 1.2 by 2050 (SSP5-8.5). Capacity gap 0.2 — high incoming stress meets low coping.
395,Osmanabad,Maharashtra,3.53,1.92,-1.61,0.25,0.869,moderate,wet-bulb,945706,514378,Risk declining from 3.5 to 1.9 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
396,Jyotiba Phule Nagar,Uttar Pradesh,6.44,1.25,-5.19,0.25,0.8,moderate,flood,2101894,407976,Risk declining from 6.4 to 1.2 by 2050 (SSP5-8.5). Capacity gap 0.2 — high incoming stress meets low coping.
397,Birbhum,West Bengal,4.45,1.21,-3.24,0.25,0.792,moderate,wet-bulb,2666442,725032,Risk declining from 4.5 to 1.2 by 2050 (SSP5-8.5). Capacity gap 0.2 — high incoming stress meets low coping.
398,Kheda,Gujarat,7.07,1.43,-5.64,0.25,0.822,moderate,flood,2034480,411500,Risk declining from 7.1 to 1.4 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
399,West Garo Hills,Meghalaya,5.52,1.69,-3.83,0.25,0.854,moderate,flood,388877,119058,Risk declining from 5.5 to 1.7 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
400,Ghaziabad,Uttar Pradesh,4.84,1.67,-3.17,0.25,0.852,moderate,flood,4153537,1433142,Risk declining from 4.8 to 1.7 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
401,Maldah,West Bengal,4.96,1.27,-3.69,0.24,0.809,moderate,flood,2843059,727961,Risk declining from 5.0 to 1.3 by 2050 (SSP5-8.5). Capacity gap 0.2 — high incoming stress meets low coping.
402,Pune,Maharashtra,4.04,2.36,-1.67,0.24,0.9,moderate,wet-bulb,6638143,3877727,Risk declining from 4.0 to 2.4 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
403,Lucknow,Uttar Pradesh,4.79,1.55,-3.24,0.24,0.845,moderate,flood,3685495,1192592,Risk declining from 4.8 to 1.6 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
404,Dharwad,Karnataka,2.66,1.93,-0.73,0.24,0.876,moderate,wet-bulb,714399,518342,Risk declining from 2.7 to 1.9 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
405,Mahesana,Gujarat,6.83,1.61,-5.22,0.24,0.853,moderate,flood,1899604,447784,Risk declining from 6.8 to 1.6 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
406,Pudukkottai,Tamil Nadu,2.61,1.55,-1.06,0.24,0.843,moderate,wet-bulb,778297,462207,Risk declining from 2.6 to 1.6 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
407,Ganjam,Odisha,4.22,1.29,-2.94,0.24,0.81,moderate,wet-bulb,2212696,676393,Risk declining from 4.2 to 1.3 by 2050 (SSP5-8.5). Capacity gap 0.2 — high incoming stress meets low coping.
408,Nizamabad,Telangana,3.74,1.58,-2.16,0.24,0.85,moderate,wet-bulb,868915,367082,Risk declining from 3.7 to 1.6 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
409,Purba Medinipur,West Bengal,6.48,1.32,-5.17,0.24,0.819,moderate,flood,5279979,1075551,Risk declining from 6.5 to 1.3 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
410,Ambedkar Nagar,Uttar Pradesh,4.84,1.17,-3.67,0.24,0.799,moderate,flood,1640506,396569,Risk declining from 4.8 to 1.2 by 2050 (SSP5-8.5). Capacity gap 0.2 — high incoming stress meets low coping.
411,Bhadrak,Odisha,7.43,1.37,-6.06,0.24,0.823,moderate,flood,1511208,278648,Risk declining from 7.4 to 1.4 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
412,Warangal (U),Telangana,3.7,1.63,-2.07,0.24,0.853,moderate,wet-bulb,475113,209307,Risk declining from 3.7 to 1.6 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
413,Mahasamund,Chhattisgarh,4.4,1.59,-2.81,0.23,0.858,moderate,wet-bulb,765373,276578,Risk declining from 4.4 to 1.6 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
414,Nagaur,Rajasthan,4.13,1.46,-2.67,0.23,0.842,moderate,wet-bulb,2249009,795049,Risk declining from 4.1 to 1.5 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
415,Barmer,Rajasthan,4.56,1.5,-3.06,0.23,0.849,moderate,drought,2059275,677393,Risk declining from 4.6 to 1.5 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
416,Bharuch,Gujarat,7.08,1.58,-5.5,0.23,0.857,moderate,flood,1683031,375592,Risk declining from 7.1 to 1.6 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
417,Jagatsinghapur,Odisha,7.46,1.35,-6.11,0.23,0.828,moderate,flood,1003670,181629,Risk declining from 7.5 to 1.4 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
418,Akola,Maharashtra,3.9,1.76,-2.14,0.23,0.867,moderate,wet-bulb,1090220,491997,Risk declining from 3.9 to 1.8 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
419,Ratnagiri,Maharashtra,4.73,2.3,-2.43,0.23,0.9,moderate,flood,947585,460771,Risk declining from 4.7 to 2.3 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
420,Uttar Bastar Kanker,Chhattisgarh,3.98,1.68,-2.3,0.23,0.861,moderate,wet-bulb,449862,189891,Risk declining from 4.0 to 1.7 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
421,Changlang,Arunachal Pradesh,3.33,1.13,-2.2,0.23,0.797,moderate,flood,152361,51702,Risk declining from 3.3 to 1.1 by 2050 (SSP5-8.5). Capacity gap 0.2 — high incoming stress meets low coping.
422,Palwal,Haryana,4.81,1.19,-3.62,0.23,0.806,moderate,wet-bulb,933586,230970,Risk declining from 4.8 to 1.2 by 2050 (SSP5-8.5). Capacity gap 0.2 — high incoming stress meets low coping.
423,Rajnandgaon,Chhattisgarh,4.18,1.7,-2.49,0.23,0.865,moderate,wet-bulb,1098307,446680,Risk declining from 4.2 to 1.7 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
424,Khordha,Odisha,7.04,1.56,-5.48,0.23,0.852,moderate,flood,2079056,460700,Risk declining from 7.0 to 1.6 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
425,Churachandpur,Manipur,2.89,1.05,-1.85,0.23,0.781,moderate,landslide,139432,50659,Risk declining from 2.9 to 1.1 by 2050 (SSP5-8.5). Capacity gap 0.2 — high incoming stress meets low coping.
426,Churu,Rajasthan,4.22,1.5,-2.73,0.23,0.848,moderate,wet-bulb,1273394,452628,Risk declining from 4.2 to 1.5 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
427,Ariyalur,Tamil Nadu,5.67,1.34,-4.33,0.23,0.826,moderate,flood,388003,91697,Risk declining from 5.7 to 1.3 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
428,Dharmapuri,Tamil Nadu,3.32,1.86,-1.46,0.23,0.879,moderate,wet-bulb,703474,394115,Risk declining from 3.3 to 1.9 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
429,Janjgir-Champa,Chhattisgarh,4.53,1.42,-3.1,0.23,0.838,moderate,wet-bulb,1471537,461276,Risk declining from 4.5 to 1.4 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
430,Perambalur,Tamil Nadu,2.83,1.6,-1.23,0.23,0.857,moderate,wet-bulb,265157,149912,Risk declining from 2.8 to 1.6 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
431,Rohtas,Bihar,4.68,1.2,-3.48,0.23,0.808,moderate,wet-bulb,2431527,623468,Risk declining from 4.7 to 1.2 by 2050 (SSP5-8.5). Capacity gap 0.2 — high incoming stress meets low coping.
432,Sivasagar,Assam,7.0,1.76,-5.24,0.23,0.869,moderate,flood,775188,194904,Risk declining from 7.0 to 1.8 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
433,Bhind,Madhya Pradesh,4.59,1.34,-3.24,0.23,0.829,moderate,wet-bulb,1044785,305013,Risk declining from 4.6 to 1.3 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
434,Mon,Nagaland,4.56,0.89,-3.67,0.23,0.743,moderate,flood,185408,36187,Risk declining from 4.6 to 0.9 by 2050 (SSP5-8.5). Capacity gap 0.2 — high incoming stress meets low coping.
435,Meerut,Uttar Pradesh,5.8,1.39,-4.4,0.23,0.837,moderate,flood,3641471,872697,Risk declining from 5.8 to 1.4 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
436,Mau,Uttar Pradesh,4.84,1.34,-3.49,0.23,0.825,moderate,wet-bulb,1749075,484248,Risk declining from 4.8 to 1.3 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
437,Hapur,Uttar Pradesh,5.63,1.45,-4.18,0.23,0.841,moderate,flood,1045584,269289,Risk declining from 5.6 to 1.4 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
438,Deoria,Uttar Pradesh,6.2,1.21,-4.99,0.23,0.808,moderate,flood,3457976,674863,Risk declining from 6.2 to 1.2 by 2050 (SSP5-8.5). Capacity gap 0.2 — high incoming stress meets low coping.
439,Bemetra,Chhattisgarh,4.39,1.55,-2.85,0.23,0.854,moderate,wet-bulb,580056,204804,Risk declining from 4.4 to 1.6 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
440,Jorhat,Assam,5.55,1.65,-3.9,0.23,0.863,moderate,flood,536361,159459,Risk declining from 5.5 to 1.6 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
441,Paschim Barddhaman,West Bengal,4.56,1.26,-3.29,0.23,0.815,moderate,wet-bulb,1779742,491771,Risk declining from 4.6 to 1.3 by 2050 (SSP5-8.5). Capacity gap 0.2 — high incoming stress meets low coping.
442,Kanpur Nagar,Uttar Pradesh,4.81,1.29,-3.52,0.22,0.826,moderate,wet-bulb,2975625,798037,Risk declining from 4.8 to 1.3 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
443,Sindhudurg,Maharashtra,5.84,1.92,-3.92,0.22,0.884,moderate,flood,630645,207335,Risk declining from 5.8 to 1.9 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
444,Patan,Gujarat,5.15,1.58,-3.57,0.22,0.857,moderate,flood,896192,274948,Risk declining from 5.2 to 1.6 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
445,Udham Singh Nagar,Uttarakhand,6.45,1.29,-5.16,0.22,0.834,moderate,flood,1797425,359485,Risk declining from 6.5 to 1.3 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
446,Peren,Nagaland,3.06,1.19,-1.88,0.22,0.811,moderate,flood,57099,22205,Risk declining from 3.1 to 1.2 by 2050 (SSP5-8.5). Capacity gap 0.2 — high incoming stress meets low coping.
447,Bhopal,Madhya Pradesh,4.1,1.49,-2.61,0.22,0.854,moderate,flood,1593515,579107,Risk declining from 4.1 to 1.5 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
448,Amravati,Maharashtra,3.74,1.78,-1.97,0.22,0.876,moderate,wet-bulb,1604905,763832,Risk declining from 3.7 to 1.8 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
449,Bulandshahr,Uttar Pradesh,4.94,1.23,-3.71,0.22,0.822,moderate,wet-bulb,2617424,651707,Risk declining from 4.9 to 1.2 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
450,Viluppuram,Tamil Nadu,5.92,1.35,-4.57,0.22,0.835,moderate,flood,2625487,598717,Risk declining from 5.9 to 1.4 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
451,Azamgarh,Uttar Pradesh,4.84,1.26,-3.58,0.22,0.826,moderate,flood,3704361,964358,Risk declining from 4.8 to 1.3 by 2050 (SSP5-8.5). Capacity gap 0.2 — moderate stress with adequate coping.
